Date Range,Case Receipts,All Decisions,Fear Established (Y),Fear Not Established (N),Closings
2024-04-16-2024-04-30,8354,10061,4329,3851,1881
2024-04-01-2024-04-15,8668,9440,4266,3604,1570
2024-03-16-2024-03-31,8394,12458,4886,3676,3896
2024-03-01-2024-03-15,9390,11333,4152,3242,3939
2024-02-16-2024-02-29,8701,9086,3313,3215,2558
2024-02-01-2024-02-15,9203,11440,3656,3523,4261
2024-01-16-2024-01-31,8993,11264,3474,3477,4313
2024-01-01-2024-01-15,6163,6832,3229,2148,1455
2023-12-16-2023-12-31,4516,5608,3259,1638,711
2023-12-01-2023-12-15,5665,9561,3584,2584,3393
2023-11-16-2023-11-30,6859,8585,3747,2529,2309
2023-11-01-2023-11-15,8227,9185,4683,2831,1671
2023-10-16-2023-10-31,11394,8624,4984,2791,849
2023-10-01-2023-10-15,9669,6358,3640,2003,715
2023-09-16-2023-09-30,7173,7331,4109,2228,994
2023-09-01-2023-09-15,11035,7530,4022,1553,1078
2023-08-16-2023-08-31,11767,8586,4525,3050,1011
2023-08-01-2023-08-15,8714,7699,4390,2567,742
2023-07-16-2023-07-31,8336,9024,5032,3135,856
2023-07-01-2023-07-15,7944,8673,5169,2746,758
2023-06-16-2023-06-30,9245,8241,4537,2881,823
2023-06-01-2023-06-15,7940,9901,4804,4097,999
2023-05-16-2023-05-31,12287,8107,4232,3092,783
2023-05-01-2023-05-15,5886,4552,2554,1187,811
2023-04-16-2023-04-30,3686,4656,3240,856,560
2023-04-01-2023-04-15,3832,4453,3528,770,156
2023-03-16-2023-03-31,4965,5335,4093,1056,186
2023-03-01-2023-03-15,4828,5747,4179,1202,366
2023-02-16-2023-02-28,3865,4349,3070,1046,233
2023-02-01-2023-02-15,6298,4721,3103,1405,213
2023-01-16-2023-01-31,6877,4128,2619,1289,220
2023-01-01-2023-01-15,3923,2541,1772,621,148
2022-12-16-2022-12-31,2388,3140,2314,578,248
2022-12-01-2022-12-15,2612,4621,3312,893,416
2022-11-16-2022-11-30,3182,3431,2416,829,186
2022-11-01-2022-11-15,4154,4540,3049,1333,158
2022-10-16-2022-10-31,5011,3208,1805,1211,192
2022-10-01-2022-10-15,4482,2294,1220,931,145
2022-09-16-2022-09-30,3809,3033,1646,1190,197
2022-09-01-2022-09-15,3426,3273,1702,1482,89
2022-08-16-2022-08-31,4024,2812,1475,1219,118
2022-08-01-2022-08-15,3511,2709,1471,1135,103
2022-07-16-2022-07-31,3199,2900,1619,1126,155
2022-07-01-2022-07-15,2430,2818,1393,852,573
2022-06-16-2022-06-31,2712,3283,1436,825,1022
2022-06-01-2022-06-15,3511,2683,1457,911,315
2022-05-16-2022-05-31,3960,1381,793,489,99
2022-05-01-2022-05-15,3448,697,413,252,40
2022-04-16-2022-04-30,2610,1122,612,478,49
2022-04-01-2022-04-30,1351,1189,711,395,101
2022-03-16-2022-03-31,1965,1488,882,504,130
2022-03-01-2022-03-15,1973,1540,1024,486,74
2022-02-16-2022-02-28,1044,1410,895,504,38
2022-02-01-2022-02-15,1655,1681,1167,508,54
2022-01-16-2022-01-31,1891,2019,1424,519,110
2022-01-01-2022-01-15,2227,1384,918,439,54
2021-12-16-2021-12-31,1838,1683,1042,635,61
2021-12-01-2021-12-15,2341,2578,1611,926,74
2021-11-16-2021-11-30,2916,2697,1738,923,66
2021-11-01-2021-11-15,4313,3324,2314,951,115
2021-10-16-2021-10-31,4615,3181,2069,1077,78
2021-10-01-2021-10-15,3571,3192,2093,1096,53
2021-09-16-2021-09-30,3495,4040,2653,1352,91
2021-09-01-2021-09-15,2850,3393,2244,1128,69
2021-08-16-2021-08-31,4674,3825,2801,988,94
2021-08-01-2021-08-15,4033,3250,2488,728,79
2021-07-16-2021-07-31,4005,3975,2810,1076,155
2021-07-01-2021-07-15,4530,3641,2469,865,357
2021-06-16-2021-06-30,4947,3505,2502,882,166
2021-06-01-2021-06-15,5156,2701,1900,738,98
2021-05-16-2021-05-31,3719,2284,1602,591,99
2021-05-01-2021-05-15,3721,2182,1445,627,110
2021-04-16-2021-04-30,3874,1895,1299,517,79
2021-04-01-2021-04-15,2737,1398,900,398,100
2021-03-16-2021-03-31,3115,1769,1114,440,215
2021-03-01-2021-03-15,2119,1114,742,305,67
2021-02-16-2021-02-28,1330,742,500,191,51
2021-02-01-2021-02-15,1173,889,543,241,105
2021-01-16-2021-01-31,795,472,282,141,49
2021-01-01-2021-01-15,483,575,357,140,78
2020-12-16-2020-12-31,562,388,245,81,62
2020-12-01-2020-12-15,458,411,251,91,69
2020-11-16-2020-11-30,380,336,215,87,34
2020-11-01-2020-11-15,284,242,137,66,39
2020-10-16-2020-10-31,368,446,243,124,79
2020-10-01-2020-10-15,341,499,279,181,39
2020-09-16-2020-09-30,417,259,111,94,54
2020-09-01-2020-09-15,308,239,114,84,41
2020-08-16-2020-08-31,333,277,163,72,42
2020-08-01-2020-08-15,279,412,255,126,31
2020-07-16-2020-07-31,325,470,259,136,75
2020-07-01-2020-07-15,399,240,123,82,35
2020-06-16-2020-06-30,368,313,141,145,27
2020-06-01-2020-06-15,283,251,134,89,28
2020-05-16-2020-05-31,205,214,97,89,28
2020-05-01-2020-05-15,256,467,179,221,67
2020-04-16-2020-04-30,253,704,296,350,58
2020-04-01-2020-04-15,433,1002,464,463,75
2020-03-16-2020-03-31,1577,2644,919,1356,369
2020-03-01-2020-03-15,2068,1836,492,993,351
2020-02-16-2020-02-29,2532,2121,622,1199,300
2020-02-01-2020-02-15,2097,2419,870,1198,351
2020-01-16-2020-01-31,2901,2373,800,1236,337
2020-01-01-2020-01-15,1877,1316,408,655,253
2019-12-16-2019-12-31,1900,1874,743,889,242
2019-12-01-2019-12-15,2470,2346,921,1125,300
2019-11-16-2019-11-30,1776,2076,789,1037,250
2019-11-01-2019-11-15,1689,3048,1202,1520,326
2019-10-16-2019-10-31,2873,3225,1140,1607,478
2019-10-01-2019-10-15,3216,3408,1556,1366,486
2019-09-16-2019-09-30,2614,4578,2650,1466,462
2019-09-01-2019-09-15,2167,4022,2428,1153,441
2019-08-16-2019-08-31,3680,5916,3903,1388,625
2019-08-01-2019-08-15,5413,5485,3944,1015,526
2019-07-16-2019-07-31,6456,4334,2882,1049,403
2019-07-01-2019-07-15,5132,3439,2341,790,308
2019-06-16-2019-06-30,4855,5239,3866,1019,354
2019-06-01-2019-06-15,5992,4582,3485,744,353
2019-05-16-2019-05-31,4506,4386,3256,752,378
2019-05-01-2019-05-15,5701,4213,3155,692,366
2019-04-16-2019-04-30,4229,4040,2957,754,329
2019-04-01-2019-04-15,4022,4065,3091,574,400
2019-03-16-2019-03-31,3460,3967,3017,528,422
2019-03-01-2019-03-15,3811,4762,3672,549,541
2019-02-16-2019-02-28,3328,2831,2153,283,395
2019-02-01-2019-02-15,4685,4835,3942,382,511
2019-01-16-2019-01-31,5582,4379,3501,393,485
